social10,self_esteem,locus,ses,gpa,parent_ed
53.8,0.8,0.53,-0.903,3,1
59.83,0.91,0.53,1.002,3.3,7
60.01,0.97,0.54,0.25,4,5
64.23,-0.26,-0.37,-0.171,3,5
39.08,-0.56,-0.37,-1.118,1.1,2
56.07,0.8,0.75,1.304,3.8,7
38.54,0.79,1.43,-1.464,4,1
42.69,0.79,0.31,-0.952,3,2
47.44,-0.28,0.07,-0.168,3.5,5
64.05,-0.1,0.07,0.811,3.5,6
43.16,0.48,0.1,-1.417,3,5
43.32,0.55,-1.51,-0.826,2.4,2
56.4,1.33,1.2,-0.004,4,4
44.82,-0.51,-0.34,0.104,3,5
46.67,-0.47,-0.49,0.121,2.8,7
51.49,-0.1,0.07,-0.341,2.8,3
50.9,-0.28,-0.64,-0.518,2.8,2
58.33,-0.09,0.3,1.281,3.5,6
67.72,-0.68,-0.14,0.983,4,5
55.71,-0.06,1.43,1.067,3.3,7
64.68,-0.45,0.3,1.495,3.3,7
67.72,-0.07,0.53,0.65,4,5
66.09,-0.66,-0.14,-0.067,3.3,4
51.82,0.31,0.51,0.91,3.3,6
60.79,-0.1,-0.19,1.019,2.5,5
64.17,0.91,0.74,1.628,4,7
32.01,-0.9,-0.82,0.119,1.9,6
55.14,-0.91,0.28,0.095,2.5,5
56.01,-0.27,0.04,-0.214,1.8,2
40.75,0.34,0.77,-0.379,2.5,2
44.81,-0.45,0.1,0.568,2.3,5
62.2,0.97,0.07,0.678,4,5
64.36,1.14,0.99,0.927,4,5
58.33,-0.23,0.5,1.456,3.5,7
63.85,0.54,0.3,0.647,4,5
54.12,0.97,1.2,0.662,3.5,6
39.4,-0.1,0.07,-0.43,2.8,4
41.21,0.52,0.48,0.769,3,6
52.5,0.11,-0.24,-0.104,2.8,5
64.54,0.96,-0.16,1.306,3.8,7
53.21,1.16,0.74,0.958,3.3,6
44.71,-0.28,0.25,0.128,2.5,2
47.05,1.33,1.23,0.996,3.8,7
56.89,0.13,-0.38,0.484,3.7,3
45.94,-1.22,0.28,0.784,2,6
41.89,-0.02,-0.6,-0.641,3,5
57.29,-0.66,0.07,0.215,2.8,3
62.98,0.09,0.53,0.091,3.8,6
56.55,0.9,0.32,0.058,3.8,2
33.28,-0.45,-0.15,-0.728,1.9,5
59.7,0.44,0.71,0.772,4,6
60.72,0.96,-0.2,-1.321,1.9,2
42.92,-0.25,-0.35,0.324,3.3,6
49.72,1.12,0.31,0.388,3.5,3
63.53,0.33,0.07,1.176,3.5,7
34.16,-1.07,-1.54,-0.879,2.5,1
41.04,-0.64,-0.14,-0.668,2.5,4
40.8,0.36,-0.16,-0.41,1.5,3
42.52,0.03,0.41,-1.417,3.5,1
59.49,0.14,0.07,0.528,3.8,6
63.71,0.13,0.52,0.633,3.8,2
64.48,0.32,1.2,1.174,4,5
57.36,0.97,0.56,0.343,4,5
66.25,0.6,0.07,0.123,2,4
39.77,0.3,0.32,-0.665,2.3,2
48.4,1.14,0.95,-1.904,3,2
55.01,-0.08,0.07,0.709,4,6
50.76,0.3,-0.14,-0.624,4,4
61.7,-0.1,0.07,0.789,2.3,7
60.36,-0.69,0.28,0.502,4,5
32.48,0.97,0.35,-0.208,2,2
40.54,0.59,0.52,-0.032,1,2
